date,ticker,name,wave_stage,score,close,volume,MA20,MA50,RSI,Position52
2025-12-30,001840,이화공영,Transition,70,1616.0,0.0,1616.0,1616.0,50.0,0.48895612708018155
2025-12-30,452400,이닉스,Transition,70,11350.0,208235.0,10539.0,10582.2,58.411843876177656,0.5214285714285715
2025-12-30,498390,한화플러스제5호스팩,Transition,70,2005.0,9973.0,2004.8,2003.92,50.0,0.32142857142857145
2025-12-30,484810,티엑스알로보틱스,Transition,70,15820.0,130027.0,15495.0,15327.8,55.72065378900446,0.30018529956763434
2025-12-30,005430,한국공항,General Uptrend,70,65300.0,6694.0,62815.0,60808.0,62.91390728476821,0.7266666666666667
2025-12-30,950190,고스트스튜디오,Transition,70,8610.0,16597.0,8851.0,8597.2,48.96551724137932,0.2909090909090909
2025-12-30,010240,흥국,Transition,70,5160.0,8127.0,5283.5,5092.9,46.913580246913575,0.3203125
2025-12-30,001620,케이비아이동국실업,Transition,70,491.0,35457.0,491.8,479.38,48.38709677419355,0.32061068702290074
2025-12-30,006140,피제이전자,Transition,70,5680.0,26851.0,5582.5,5321.8,54.41176470588235,0.4963235294117647
2025-12-30,102120,어보브반도체,Transition,70,12070.0,2749353.0,10955.0,11484.8,63.66197183098591,0.5435540069686411
2025-12-30,053690,한미글로벌,Transition,70,17960.0,27113.0,17941.0,18642.0,50.90361445783132,0.40754369825206993
2025-12-30,104200,NHN벅스,Transition,70,2995.0,26049.0,2898.0,2811.6,59.82905982905983,0.3657587548638132
2025-12-30,322970,무진메디,Transition,70,1994.0,1014.0,2086.9,2057.82,47.005208333333336,0.31136363636363634
2025-12-30,080520,오디텍,Transition,70,3150.0,4691.0,3173.25,3100.6,47.16981132075472,0.5454545454545454
2025-12-30,093640,케이알엠,Transition,70,3820.0,38883.0,3824.5,3792.9,50.828729281767956,0.45585585585585586
2025-12-30,078020,LS증권,Transition,70,4805.0,18689.0,4839.75,5056.7,55.319148936170215,0.40083798882681565
2025-12-30,001780,알루코,Transition,70,2115.0,634167.0,2043.3,2038.34,59.08372827804108,0.28398058252427183
2025-12-30,069410,엔텔스,Transition,70,5100.0,13245.0,5093.0,4935.7,51.35135135135135,0.5769230769230769
2025-12-30,095660,네오위즈,Transition,70,24450.0,24555.0,25247.5,25051.0,45.87155963302752,0.5913884007029877
2025-12-30,253610,루트락,Transition,70,1210.0,1946.0,1142.0,1106.86,45.74132492113564,0.3508771929824561
2025-12-30,375500,DL이앤씨,Transition,70,41300.0,70072.0,41735.0,41282.0,47.84482758620689,0.38047138047138046
2025-12-30,067900,와이엔텍,Transition,70,6650.0,92505.0,6552.0,6255.6,61.8705035971223,0.5214723926380368
2025-12-30,475240,하나32호스팩,Transition,70,2120.0,326.0,2113.75,2114.0,50.0,0.4827586206896552
2025-12-30,475150,SK이터닉스,Transition,70,20850.0,163428.0,21014.5,20250.0,47.706422018348626,0.4895287958115183
